Country,EducationLevel,YearsOfExperience,Salary
United States of America,Bachelor's degree,18.0,190000.0
Canada,Bachelor's degree,11.0,94319.0
United States of America,Bachelor's degree,2.0,90000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,5.0,45860.0
Portugal,Master's degree,3.0,46185.0
France,Master's degree,7.0,51555.0
Russian Federation,Less than Bachelor's degree,9.0,141177.0
United States of America,Bachelor's degree,20.0,75000.0
France,Master's degree,5.0,41888.0
Ukraine,Master's degree,16.0,53000.0
Germany,Bachelor's degree,4.0,66592.0
Mexico,Bachelor's degree,9.0,42049.0
United States of America,Upper than Master's degree,15.0,95000.0
Austria,Master's degree,2.0,47259.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,13.0,94267.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,27.0,191082.0
United States of America,Master's degree,15.0,95550.0
Germany,Master's degree,27.0,150369.0
Spain,Bachelor's degree,12.0,76258.0
Ukraine,Bachelor's degree,3.0,15600.0
Ireland,Bachelor's degree,12.0,107406.0
France,Master's degree,8.0,77332.0
Austria,Master's degree,25.0,85925.0
Austria,Less than Bachelor's degree,10.0,86999.0
Canada,Master's degree,28.0,151201.0
Brazil,Less than Bachelor's degree,3.0,16784.0
Germany,Less than Bachelor's degree,3.0,39955.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,7.0,71337.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,30.0,154139.0
Brazil,Bachelor's degree,3.0,25250.0
India,Master's degree,5.0,14356.0
Canada,Less than Bachelor's degree,5.0,65424.0
Italy,Bachelor's degree,8.0,45111.0
United States of America,Bachelor's degree,17.0,153000.0
Belgium,Less than Bachelor's degree,4.0,45111.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,7.0,121018.0
Poland,Master's degree,4.0,54442.0
Norway,Less than Bachelor's degree,2.0,24072.0
Other,Less than Bachelor's degree,13.0,92155.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,4.0,17834.0
Greece,Master's degree,10.0,85925.0
United States of America,Less than Bachelor's degree,2.0,17606.0
Russian Federation,Less than Bachelor's degree,15.0,22409.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,20.0,95541.0
United States of America,Master's degree,10.0,30000.0
Netherlands,Master's degree,25.0,83707.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,25.0,89172.0
Germany,Less than Bachelor's degree,5.0,55851.0
Greece,Master's degree,6.0,31685.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,8.0,84076.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,9.0,83439.0
Canada,Master's degree,9.0,87231.0
United States of America,Master's degree,12.0,131000.0
United States of America,Bachelor's degree,1.0,100000.0
Italy,Less than Bachelor's degree,1.0,20407.0
Russian Federation,Upper than Master's degree,26.0,16807.0
France,Master's degree,2.0,18259.0
United States of America,Upper than Master's degree,2.0,117000.0
Germany,Bachelor's degree,8.0,123517.0
Other,Bachelor's degree,21.0,70888.0
Ireland,Bachelor's degree,17.0,51555.0
Netherlands,Bachelor's degree,3.0,52788.0
Germany,Less than Bachelor's degree,3.0,19333.0
Spain,Less than Bachelor's degree,12.0,85925.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,0.0,34395.0
India,Bachelor's degree,3.0,49050.0
Germany,Bachelor's degree,6.0,64444.0
Norway,Bachelor's degree,2.0,68322.0
United States of America,Bachelor's degree,7.0,127000.0
Greece,Upper than Master's degree,5.0,53703.0
United States of America,Less than Bachelor's degree,12.0,180000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,20.0,48407.0
Italy,Master's degree,8.0,50481.0
Portugal,Less than Bachelor's degree,0.0,16465.0
United States of America,Master's degree,5.0,142426.0
Spain,Master's degree,10.0,80555.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,9.0,63694.0
France,Master's degree,6.0,80555.0
Ukraine,Bachelor's degree,17.0,55835.0
Netherlands,Less than Bachelor's degree,0.0,10741.0
Brazil,Bachelor's degree,10.0,27973.0
Italy,Less than Bachelor's degree,3.0,32222.0
United States of America,Bachelor's degree,7.0,149315.0
Other,Upper than Master's degree,17.0,118147.0
Canada,Bachelor's degree,28.0,128666.0
Poland,Master's degree,4.0,59391.0
Portugal,Master's degree,11.0,127813.0
United States of America,Bachelor's degree,3.0,75000.0
United States of America,Less than Bachelor's degree,26.0,158000.0
Ukraine,Master's degree,9.0,66000.0
United States of America,Upper than Master's degree,4.0,118000.0
United States of America,Master's degree,15.0,180000.0
Canada,Bachelor's degree,2.0,87231.0
Canada,Less than Bachelor's degree,9.0,69785.0
Canada,Master's degree,15.0,159924.0
Poland,Master's degree,5.0,65331.0
United States of America,Bachelor's degree,25.0,164000.0
Germany,Upper than Master's degree,7.0,80555.0
United States of America,Master's degree,11.0,179000.0
Ireland,Less than Bachelor's degree,12.0,171850.0
Germany,Bachelor's degree,13.0,75184.0
United States of America,Bachelor's degree,29.0,172000.0
Spain,Bachelor's degree,10.0,37592.0
Ukraine,Master's degree,5.0,49368.0
Ukraine,Master's degree,7.0,75000.0
Canada,Less than Bachelor's degree,10.0,90866.0
France,Master's degree,1.0,47259.0
Israel,Less than Bachelor's degree,10.0,12952.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,9.0,114649.0
United States of America,Bachelor's degree,18.0,100000.0
United States of America,Bachelor's degree,15.0,42000.0
United States of America,Less than Bachelor's degree,7.0,64000.0
Canada,Master's degree,2.0,116309.0
Germany,Less than Bachelor's degree,6.0,60147.0
Sweden,Less than Bachelor's degree,4.0,44831.0
Poland,Less than Bachelor's degree,11.0,84138.0
Other,Master's degree,7.0,125656.0
Poland,Master's degree,7.0,140000.0
Other,Bachelor's degree,17.0,69814.0
United States of America,Less than Bachelor's degree,11.0,42000.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,29.0,76433.0
Switzerland,Less than Bachelor's degree,20.0,111417.0
Canada,Bachelor's degree,3.0,109039.0
Other,Bachelor's degree,3.0,81307.0
United States of America,Bachelor's degree,1.0,88000.0
France,Master's degree,6.0,36840.0
United States of America,Bachelor's degree,5.0,180000.0
Brazil,Master's degree,5.0,56000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,1.0,63694.0
Turkey,Bachelor's degree,3.0,25226.0
United States of America,Upper than Master's degree,7.0,180000.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,6.0,180000.0
Poland,Master's degree,12.0,123732.0
Russian Federation,Master's degree,5.0,48000.0
Germany,Upper than Master's degree,5.0,128887.0
United States of America,Master's degree,13.0,86000.0
Spain,Master's degree,11.0,128887.0
Hungary,Bachelor's degree,7.0,43481.0
Ukraine,Bachelor's degree,1.0,27926.0
United States of America,Master's degree,12.0,180000.0
Sweden,Master's degree,17.0,133538.0
Italy,Less than Bachelor's degree,5.0,128887.0
India,Bachelor's degree,18.0,21534.0
United States of America,Bachelor's degree,11.0,90000.0
United States of America,Bachelor's degree,27.0,144000.0
Argentina,Master's degree,18.0,24746.0
United States of America,Less than Bachelor's degree,8.0,152000.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,13.0,36000.0
United States of America,Bachelor's degree,7.0,97000.0
Switzerland,Upper than Master's degree,10.0,53480.0
Czech Republic,Bachelor's degree,3.0,43435.0
United States of America,Bachelor's degree,2.0,83500.0
United States of America,Less than Bachelor's degree,4.0,68000.0
United States of America,Less than Bachelor's degree,10.0,160000.0
Other,Less than Bachelor's degree,11.0,60202.0
Poland,Bachelor's degree,5.0,67666.0
Denmark,Less than Bachelor's degree,16.0,54721.0
Netherlands,Bachelor's degree,9.0,95592.0
Norway,Less than Bachelor's degree,10.0,93591.0
Other,Less than Bachelor's degree,24.0,75800.0
India,Bachelor's degree,22.0,29909.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,7.0,109554.0
United States of America,Bachelor's degree,27.0,162000.0
Other,Bachelor's degree,13.0,16336.0
India,Master's degree,9.0,15553.0
Slovakia,Master's degree,4.0,38666.0
Other,Bachelor's degree,7.0,40000.0
United States of America,Bachelor's degree,18.0,115000.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,29.0,129936.0
United States of America,Less than Bachelor's degree,13.0,180000.0
Canada,Less than Bachelor's degree,23.0,72693.0
Other,Less than Bachelor's degree,8.0,18000.0
Other,Bachelor's degree,10.0,19795.0
United States of America,Less than Bachelor's degree,6.0,124800.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,24.0,78980.0
Germany,Less than Bachelor's degree,0.0,12889.0
Other,Less than Bachelor's degree,18.0,38561.0
Other,Bachelor's degree,4.0,31189.0
United States of America,Bachelor's degree,1.0,122500.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,16.0,133757.0
Turkey,Less than Bachelor's degree,22.0,40000.0
United States of America,Bachelor's degree,14.0,154640.0
United States of America,Bachelor's degree,2.0,96000.0
Ukraine,Master's degree,14.0,54000.0
Canada,Less than Bachelor's degree,14.0,43616.0
United States of America,Master's degree,7.0,110000.0
United States of America,Bachelor's degree,23.0,135000.0
Poland,Master's degree,17.0,110000.0
United States of America,Less than Bachelor's degree,4.0,120000.0
Denmark,Master's degree,7.0,87841.0
Poland,Bachelor's degree,2.0,24746.0
United States of America,Less than Bachelor's degree,7.0,165000.0
Poland,Bachelor's degree,9.0,118147.0
Denmark,Bachelor's degree,24.0,86401.0
Poland,Master's degree,7.0,103935.0
Canada,Less than Bachelor's degree,3.0,36346.0
Germany,Master's degree,2.0,51555.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,9.0,89172.0
Russian Federation,Bachelor's degree,11.0,65000.0
United States of America,Bachelor's degree,6.0,170000.0
Other,Bachelor's degree,10.0,88073.0
Germany,Upper than Master's degree,14.0,70888.0
Canada,Master's degree,19.0,109039.0
France,Bachelor's degree,16.0,96666.0
Other,Less than Bachelor's degree,9.0,72532.0
Colombia,Bachelor's degree,2.0,17663.0
Other,Bachelor's degree,13.0,120000.0
Portugal,Master's degree,5.0,33833.0
United States of America,Master's degree,6.0,115000.0
Netherlands,Master's degree,6.0,120000.0
Other,Master's degree,7.0,59073.0
United States of America,Less than Bachelor's degree,11.0,85000.0
Canada,Bachelor's degree,30.0,126486.0
Spain,Less than Bachelor's degree,8.0,128887.0
Germany,Master's degree,10.0,102036.0
United States of America,Master's degree,15.0,167890.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,9.0,87898.0
Ukraine,Master's degree,4.0,12342.0
Denmark,Master's degree,5.0,102645.0
United States of America,Bachelor's degree,10.0,140000.0
Belgium,Master's degree,8.0,107406.0
India,Bachelor's degree,4.0,19142.0
United States of America,Less than Bachelor's degree,16.0,125000.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,5.0,101910.0
Netherlands,Master's degree,20.0,75184.0
United States of America,Bachelor's degree,4.0,125000.0
United States of America,Bachelor's degree,19.0,145600.0
Germany,Master's degree,12.0,96666.0
Germany,Master's degree,12.0,99888.0
Canada,Less than Bachelor's degree,20.0,90866.0
United States of America,Less than Bachelor's degree,5.0,11000.0
Switzerland,Master's degree,13.0,90248.0
Poland,Master's degree,4.0,10888.0
United States of America,Master's degree,5.0,20000.0
United States of America,Less than Bachelor's degree,2.0,52000.0
Netherlands,Master's degree,10.0,107406.0
United States of America,Bachelor's degree,10.0,72000.0
Italy,Upper than Master's degree,5.0,48333.0
Ukraine,Master's degree,20.0,49368.0
Switzerland,Bachelor's degree,8.0,116988.0
United States of America,Bachelor's degree,2.0,75420.0
Canada,Bachelor's degree,10.0,50885.0
United States of America,Less than Bachelor's degree,14.0,150000.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,9.0,63694.0
United States of America,Less than Bachelor's degree,10.0,180000.0
Italy,Bachelor's degree,15.0,53703.0
Other,Bachelor's degree,2.0,15776.0
Hungary,Master's degree,28.0,51633.0
Germany,Less than Bachelor's degree,17.0,52629.0
Poland,Bachelor's degree,4.0,51968.0
Czech Republic,Less than Bachelor's degree,7.0,52122.0
United States of America,Master's degree,11.0,100000.0
Canada,Less than Bachelor's degree,10.0,145386.0
United States of America,Bachelor's degree,9.0,192000.0
United States of America,Bachelor's degree,12.0,165000.0
South Africa,Bachelor's degree,15.0,77484.0
United States of America,Bachelor's degree,19.0,101000.0
Brazil,Less than Bachelor's degree,6.0,38267.0
Israel,Bachelor's degree,7.0,12143.0
France,Master's degree,13.0,56925.0
United States of America,Bachelor's degree,16.0,110000.0
Brazil,Master's degree,24.0,41960.0
United States of America,Less than Bachelor's degree,22.0,106000.0
Canada,Master's degree,21.0,94501.0
Germany,Master's degree,11.0,91295.0
United States of America,Bachelor's degree,3.0,100000.0
United States of America,Master's degree,3.0,151000.0
Brazil,Bachelor's degree,3.0,36000.0
United States of America,Bachelor's degree,14.0,125000.0
United States of America,Less than Bachelor's degree,10.0,120000.0
Germany,Master's degree,2.0,69814.0
United States of America,Bachelor's degree,5.0,80000.0
Greece,Master's degree,6.0,21481.0
Germany,Bachelor's degree,5.0,57761.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,0.0,27771.0
Poland,Bachelor's degree,3.0,26726.0
Canada,Bachelor's degree,13.0,130847.0
Spain,Bachelor's degree,25.0,42962.0
France,Less than Bachelor's degree,2.0,47796.0
United States of America,Master's degree,8.0,80000.0
United States of America,Less than Bachelor's degree,29.0,150000.0
United States of America,Master's degree,13.0,172550.0
Brazil,Bachelor's degree,20.0,33568.0
United States of America,Bachelor's degree,5.0,20000.0
Brazil,Bachelor's degree,13.0,124800.0
Sweden,Bachelor's degree,13.0,57230.0
Sweden,Upper than Master's degree,12.0,38154.0
Ukraine,Bachelor's degree,6.0,46899.0
United States of America,Bachelor's degree,7.0,75000.0
France,Master's degree,5.0,64444.0
United States of America,Less than Bachelor's degree,6.0,82000.0
Switzerland,Less than Bachelor's degree,12.0,111417.0
Netherlands,Bachelor's degree,10.0,69814.0
Germany,Master's degree,10.0,85925.0
United States of America,Bachelor's degree,4.0,95000.0
Canada,Less than Bachelor's degree,25.0,90866.0
Spain,Bachelor's degree,2.0,30611.0
Spain,Less than Bachelor's degree,5.0,37592.0
Colombia,Bachelor's degree,6.0,50000.0
United States of America,Bachelor's degree,22.0,40000.0
France,Less than Bachelor's degree,8.0,53703.0
Poland,Less than Bachelor's degree,3.0,67766.0
United States of America,Less than Bachelor's degree,14.0,36000.0
Poland,Master's degree,10.0,54442.0
Canada,Bachelor's degree,27.0,101770.0
United States of America,Master's degree,3.0,100000.0
Brazil,Bachelor's degree,11.0,16168.0
Hungary,Bachelor's degree,6.0,39133.0
Germany,Bachelor's degree,13.0,85925.0
United States of America,Bachelor's degree,28.0,110000.0
Other,Master's degree,3.0,60769.0
Netherlands,Master's degree,6.0,75184.0
Germany,Upper than Master's degree,8.0,84851.0
Italy,Less than Bachelor's degree,1.0,26852.0
United States of America,Bachelor's degree,5.0,97000.0
United States of America,Bachelor's degree,3.0,74000.0
Germany,Master's degree,4.0,77332.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,10.0,121018.0
Germany,Bachelor's degree,7.0,67666.0
United States of America,Bachelor's degree,13.0,110000.0
United States of America,Master's degree,7.0,160000.0
United States of America,Less than Bachelor's degree,4.0,80000.0
Bangladesh,Bachelor's degree,6.0,10197.0
United States of America,Less than Bachelor's degree,10.0,80000.0
United States of America,Bachelor's degree,19.0,115000.0
Turkey,Bachelor's degree,2.0,14400.0
Other,Less than Bachelor's degree,20.0,42962.0
Ukraine,Less than Bachelor's degree,20.0,150000.0
Ireland,Bachelor's degree,3.0,59073.0
Brazil,Bachelor's degree,10.0,57203.0
Portugal,Master's degree,4.0,85925.0
India,Bachelor's degree,5.0,31703.0
United States of America,Master's degree,16.0,150000.0
Germany,Less than Bachelor's degree,7.0,71500.0
United States of America,Bachelor's degree,20.0,180000.0
United States of America,Bachelor's degree,13.0,135000.0
Czech Republic,Less than Bachelor's degree,21.0,47778.0
France,Master's degree,10.0,107406.0
United States of America,Upper than Master's degree,6.0,130000.0
Slovakia,Master's degree,12.0,72821.0
Spain,Less than Bachelor's degree,16.0,59073.0
France,Master's degree,22.0,128887.0
Serbia,Less than Bachelor's degree,2.0,23200.0
Argentina,Less than Bachelor's degree,20.0,83138.0
Switzerland,Master's degree,15.0,122559.0
United States of America,Bachelor's degree,24.0,152000.0
Poland,Bachelor's degree,3.0,29102.0
Poland,Bachelor's degree,9.0,66815.0
United States of America,Less than Bachelor's degree,7.0,90000.0
United States of America,Bachelor's degree,6.0,150000.0
Canada,Bachelor's degree,12.0,109039.0
United States of America,Master's degree,3.0,160000.0
Netherlands,Less than Bachelor's degree,4.0,73036.0
Spain,Bachelor's degree,13.0,93443.0
Pakistan,Bachelor's degree,5.0,17945.0
Ukraine,Less than Bachelor's degree,1.0,10200.0
Canada,Bachelor's degree,3.0,63970.0
Romania,Master's degree,6.0,54375.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,6.0,82802.0
Sweden,Less than Bachelor's degree,13.0,73664.0
Ukraine,Master's degree,13.0,86394.0
United States of America,Upper than Master's degree,8.0,150000.0
United States of America,Less than Bachelor's degree,19.0,180000.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,10.0,101910.0
United States of America,Master's degree,23.0,136000.0
Turkey,Less than Bachelor's degree,20.0,30914.0
Switzerland,Bachelor's degree,7.0,112977.0
United States of America,Bachelor's degree,25.0,112000.0
Other,Bachelor's degree,9.0,64444.0
Germany,Bachelor's degree,11.0,85925.0
United States of America,Bachelor's degree,17.0,98000.0
United States of America,Bachelor's degree,13.0,85535.0
United States of America,Master's degree,10.0,160000.0
Poland,Less than Bachelor's degree,8.0,51374.0
Germany,Bachelor's degree,10.0,72499.0
Israel,Bachelor's degree,21.0,134921.0
Switzerland,Less than Bachelor's degree,1.0,24623.0
Italy,Bachelor's degree,3.0,30074.0
United States of America,Master's degree,29.0,175000.0
Poland,Less than Bachelor's degree,5.0,49493.0
Germany,Master's degree,9.0,53703.0
Other,Bachelor's degree,6.0,56000.0
United States of America,Bachelor's degree,7.0,89000.0
Germany,Bachelor's degree,10.0,92369.0
United States of America,Master's degree,3.0,40000.0
Sweden,Bachelor's degree,5.0,40061.0
Ukraine,Master's degree,9.0,95000.0
Greece,Less than Bachelor's degree,1.0,10741.0
Poland,Master's degree,16.0,83148.0
Italy,Less than Bachelor's degree,12.0,71034.0
United States of America,Bachelor's degree,25.0,181000.0
Brazil,Bachelor's degree,6.0,20141.0
Russian Federation,Master's degree,6.0,43697.0
Canada,Less than Bachelor's degree,3.0,39981.0
Austria,Less than Bachelor's degree,7.0,39096.0
Brazil,Master's degree,12.0,13987.0
Austria,Bachelor's degree,9.0,53703.0
Egypt,Master's degree,6.0,32222.0
United States of America,Bachelor's degree,11.0,160000.0
France,Master's degree,9.0,53703.0
United States of America,Bachelor's degree,1.0,65001.0
United States of America,Less than Bachelor's degree,7.0,65000.0
Switzerland,Less than Bachelor's degree,20.0,133700.0
Canada,Bachelor's degree,11.0,116309.0
"Iran, Islamic Republic of...",Bachelor's degree,6.0,12830.0
Romania,Bachelor's degree,1.0,11652.0
United States of America,Bachelor's degree,1.0,130000.0
France,Master's degree,10.0,85925.0
Greece,Less than Bachelor's degree,1.0,21481.0
South Africa,Bachelor's degree,18.0,52947.0
Russian Federation,Master's degree,22.0,40336.0
Czech Republic,Less than Bachelor's degree,11.0,86870.0
India,Bachelor's degree,3.0,16510.0
Denmark,Master's degree,4.0,129602.0
Germany,Less than Bachelor's degree,8.0,77332.0
United States of America,Less than Bachelor's degree,10.0,190000.0
Other,Less than Bachelor's degree,4.0,47259.0
France,Master's degree,0.0,36518.0
Germany,Less than Bachelor's degree,27.0,74110.0
Poland,Master's degree,10.0,111359.0
Germany,Master's degree,10.0,81629.0
Other,Bachelor's degree,15.0,52812.0
United States of America,Less than Bachelor's degree,12.0,150000.0
United States of America,Master's degree,2.0,110000.0
Poland,Less than Bachelor's degree,10.0,74239.0
Czech Republic,Master's degree,10.0,60809.0
India,Bachelor's degree,9.0,135000.0
Sweden,Bachelor's degree,11.0,64098.0
"Iran, Islamic Republic of...",Bachelor's degree,6.0,18000.0
Argentina,Less than Bachelor's degree,10.0,60000.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,10.0,61146.0
United States of America,Less than Bachelor's degree,4.0,102000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,5.0,57325.0
Canada,Bachelor's degree,4.0,65424.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,1.0,31847.0
Canada,Less than Bachelor's degree,2.0,58154.0
Czech Republic,Less than Bachelor's degree,30.0,65152.0
Brazil,Bachelor's degree,0.0,33568.0
Germany,Master's degree,16.0,102036.0
Ukraine,Master's degree,2.0,29621.0
Switzerland,Master's degree,10.0,128129.0
Ukraine,Master's degree,19.0,78988.0
Italy,Master's degree,15.0,107943.0
Portugal,Bachelor's degree,3.0,26841.0
Germany,Upper than Master's degree,12.0,112777.0
Netherlands,Master's degree,15.0,112777.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,27.0,89172.0
Russian Federation,Master's degree,4.0,29132.0
Canada,Bachelor's degree,9.0,138117.0
Germany,Master's degree,7.0,95592.0
United States of America,Bachelor's degree,2.0,40000.0
Ukraine,Master's degree,3.0,26000.0
United States of America,Bachelor's degree,2.0,105000.0
United States of America,Bachelor's degree,22.0,125000.0
United States of America,Less than Bachelor's degree,15.0,105000.0
Canada,Less than Bachelor's degree,20.0,87231.0
Germany,Less than Bachelor's degree,2.0,42533.0
Canada,Less than Bachelor's degree,10.0,76328.0
Canada,Bachelor's degree,10.0,95955.0
Colombia,Bachelor's degree,2.0,30000.0
United States of America,Bachelor's degree,8.0,150000.0
Austria,Less than Bachelor's degree,3.0,48333.0
Spain,Bachelor's degree,18.0,48333.0
France,Master's degree,9.0,64444.0
Brazil,Less than Bachelor's degree,18.0,67135.0
Switzerland,Less than Bachelor's degree,24.0,122559.0
United States of America,Less than Bachelor's degree,2.0,78000.0
United States of America,Master's degree,22.0,160000.0
Spain,Master's degree,12.0,59073.0
Germany,Bachelor's degree,7.0,53703.0
United States of America,Master's degree,10.0,190000.0
United States of America,Less than Bachelor's degree,8.0,107000.0
United States of America,Less than Bachelor's degree,14.0,160000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,7.0,114649.0
France,Upper than Master's degree,26.0,64444.0
Denmark,Less than Bachelor's degree,25.0,124418.0
United States of America,Less than Bachelor's degree,10.0,113000.0
United States of America,Bachelor's degree,3.0,55000.0
Norway,Bachelor's degree,3.0,14039.0
Sweden,Master's degree,25.0,76307.0
Finland,Upper than Master's degree,11.0,139628.0
Poland,Less than Bachelor's degree,7.0,58154.0
Slovakia,Master's degree,7.0,48333.0
United States of America,Master's degree,10.0,70000.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,9.0,63694.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,4.0,76433.0
Germany,Master's degree,25.0,107406.0
United States of America,Bachelor's degree,11.0,100000.0
Poland,Bachelor's degree,8.0,108884.0
Other,Bachelor's degree,10.0,48333.0
United States of America,Bachelor's degree,5.0,125000.0
Germany,Bachelor's degree,13.0,107406.0
Brazil,Bachelor's degree,7.0,26108.0
United States of America,Bachelor's degree,6.0,128731.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,8.0,140127.0
United States of America,Bachelor's degree,9.0,120000.0
United States of America,Bachelor's degree,1.0,85000.0
Italy,Bachelor's degree,30.0,51555.0
United States of America,Less than Bachelor's degree,11.0,140000.0
Germany,Bachelor's degree,14.0,75184.0
United States of America,Upper than Master's degree,9.0,127500.0
Brazil,Master's degree,16.0,18649.0
Poland,Master's degree,5.0,66815.0
Bulgaria,Master's degree,10.0,54923.0
Canada,Bachelor's degree,18.0,100316.0
United States of America,Bachelor's degree,1.0,120000.0
Canada,Less than Bachelor's degree,4.0,98135.0
United States of America,Less than Bachelor's degree,3.0,80000.0
Brazil,Less than Bachelor's degree,6.0,26854.0
Canada,Bachelor's degree,4.0,167194.0
United States of America,Master's degree,0.0,65000.0
Poland,Less than Bachelor's degree,2.0,25489.0
Sweden,Less than Bachelor's degree,5.0,40061.0
Germany,Master's degree,8.0,139628.0
Canada,Less than Bachelor's degree,20.0,123578.0
United States of America,Master's degree,22.0,147000.0
Bulgaria,Bachelor's degree,22.0,13181.0
Mexico,Bachelor's degree,2.0,30189.0
France,Master's degree,1.0,48333.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,15.0,152865.0
India,Master's degree,2.0,14356.0
Poland,Master's degree,5.0,56422.0
Argentina,Less than Bachelor's degree,10.0,120000.0
United States of America,Bachelor's degree,20.0,120000.0
Mexico,Bachelor's degree,26.0,129381.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,12.0,80254.0
United States of America,Bachelor's degree,20.0,165000.0
Other,Bachelor's degree,10.0,54240.0
Germany,Master's degree,30.0,139628.0
Spain,Less than Bachelor's degree,3.0,32222.0
Italy,Upper than Master's degree,14.0,51018.0
Germany,Master's degree,21.0,91295.0
United States of America,Bachelor's degree,11.0,72000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,10.0,122292.0
Serbia,Master's degree,10.0,109554.0
Brazil,Bachelor's degree,12.0,52216.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,15.0,171974.0
Poland,Less than Bachelor's degree,7.0,69290.0
Poland,Master's degree,7.0,38852.0
Mexico,Bachelor's degree,4.0,72777.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,8.0,36942.0
Italy,Bachelor's degree,17.0,77332.0
Italy,Bachelor's degree,18.0,59073.0
Portugal,Bachelor's degree,11.0,102036.0
Spain,Bachelor's degree,12.0,51555.0
Netherlands,Bachelor's degree,4.0,17185.0
Canada,Master's degree,18.0,79962.0
Canada,Bachelor's degree,5.0,75601.0
Germany,Bachelor's degree,8.0,81092.0
United States of America,Bachelor's degree,6.0,175000.0
United States of America,Less than Bachelor's degree,6.0,60000.0
Switzerland,Less than Bachelor's degree,15.0,167125.0
Canada,Bachelor's degree,8.0,105405.0
United States of America,Bachelor's degree,4.0,124500.0
Brazil,Bachelor's degree,6.0,37297.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,15.0,107406.0
Germany,Less than Bachelor's degree,7.0,120000.0
Other,Master's degree,5.0,110000.0
New Zealand,Bachelor's degree,15.0,122913.0
United States of America,Bachelor's degree,27.0,77000.0
United States of America,Master's degree,11.0,90000.0
Austria,Master's degree,20.0,91295.0
Norway,Master's degree,6.0,79552.0
Spain,Bachelor's degree,8.0,67839.0
United States of America,Bachelor's degree,1.0,55000.0
Denmark,Bachelor's degree,11.0,89857.0
Sweden,Less than Bachelor's degree,18.0,57230.0
Greece,Master's degree,8.0,64444.0
Poland,Less than Bachelor's degree,3.0,32665.0
Germany,Bachelor's degree,11.0,128887.0
Poland,Less than Bachelor's degree,26.0,29696.0
Switzerland,Bachelor's degree,2.0,104732.0
United States of America,Bachelor's degree,3.0,160000.0
Israel,Bachelor's degree,3.0,123048.0
Brazil,Bachelor's degree,22.0,37297.0
United States of America,Bachelor's degree,2.0,190000.0
Sweden,Less than Bachelor's degree,12.0,95384.0
United States of America,Bachelor's degree,2.0,150000.0
France,Bachelor's degree,10.0,70888.0
New Zealand,Master's degree,23.0,70675.0
Canada,Bachelor's degree,6.0,91593.0
Ukraine,Less than Bachelor's degree,15.0,18760.0
Sweden,Upper than Master's degree,14.0,60664.0
Brazil,Master's degree,17.0,99398.0
United States of America,Bachelor's degree,21.0,105000.0
Canada,Less than Bachelor's degree,8.0,123578.0
